payment_key_hash_hex,addresses,agent_balance_base,agent_flux_units,shards_balance_base,shards_flux_units,flux_pass_balance_base,flux_pass_flux_units,se_brawlers_balance_base,se_brawlers_flux_units,brawl_pass_etd_balance_base,brawl_pass_etd_flux_units,t1_adam_pass_balance_base,t1_adam_pass_flux_units,t2_adam_pass_balance_base,t2_adam_pass_flux_units,flux_total_units,flux_total_display
7c4625db82e12630f4635d6d8c9f5cf8d3fe9fcd8545c83e4ab4f2d4,addr1q97yvfwmstsjvv85vdwkmryltnud8l5lekz5tjp7f26094yc5z9q8pr5eau8u77n2ee8dtge4rxztvxnnzp3mfm96v5smpf0cz,0,0,43000000,1252271289,0,0,0,0,0,0,0,0,0,0,1252271289,1252.271289
7c57ccb866ce0bf3a204a85809e77b8c5c2dfc564056843f7f7f6171,addr1q9790n9cvm8qhuazqj59sz080wx9ct0u2eq9dppl0alkzugwjqeh837anwqfsr3jsm220clc9ftdemfhysn63cdpx6as9qcyk2,23238,10756644195,0,0,0,0,0,0,0,0,0,0,0,0,10756644195,10756.644195
7c5a1e11b60014f000ef4e497cdd77184abf66140d66d4b84e8f3e8e,addr1q97958s3kcqpfuqqaa8yjlxawuvy40mxzsxkd49cf68narhczt8xqz0hax46uh5n8geg3s42q97pwg0hnqj9xzvlpwvqwg507k,0,0,10000000,291225881,0,0,0,0,0,0,0,0,0,0,291225881,291.225881
7c5d50d4d9e537bc47f278316602dc9f72bd53f92537fdebd230d340,addr1q97965x5m8jn00z87furzeszmj0h902nlyjn0l0t6gcdxsx66nx8qphshzwtw4fyd730ra5zxad4g393pehqcqnj6jzs00hhqs,0,0,19000000,553329174,0,0,0,0,0,0,0,0,0,0,553329174,553.329174
7c625bb4b5ccdb3dd852a1abb0c28c6b48057ea0825c3dcf08fa81bb,addr1q97xyka5khxdk0wc22s6hvxz3345spt75zp9c0w0pragrwav9uhneg2mv0ga8es25mv87h6u6qkf5gdhzee25lz4a68qtsppdj,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
7c66361c65b8953aae97fcbf820069f1820166204e72400447a8b158,addr1q97xvdsuvkuf2w4wjl7tlqsqd8ccyqtxyp88ysqyg75tzkp4efv5agl8270dk33uvpkcyuts5y2h0h8gms9y3euqhqnqj96q0e,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
7c69be86f011d46b35a6d818755bb35d8fd70813b10d57deca2a6f8d,addr1q97xn05x7qgag6e45mvpsa2mkdwcl4cgzwcs6477eg4xlrtl57ntcc07yqegwymxl4ll54fcjs3z6r8m9c3v9ahp43wsv2k5w2,116,53695271,0,0,0,0,0,0,0,0,0,0,0,0,53695271,53.695271
7c819e71fb374c39c456abf6856d3a95534354e1918a695af22a9dea,addr1q97gr8n3lvm5cwwy264ldptd8224xs65uxgc56267g4fm6jdmy9h66h7f497k2y73k9vgn4vz5c6ha40jsga5kgyfynqrhh5jq,46660,21598460201,0,0,0,0,0,0,0,0,0,0,2,376678857582,398277317783,398277.317783
7c827b566932f0cc9e2c912de9b35ccf97930f58cc88fdc19c569e29,addr1q97gy76kdye0pny79jgjm6dntn8e0yc0trxg3lwpn3tfu2ful3aynljptc05enrm2fdhzvc3ld0gk2zckesnagehmtuqdh547z,12150,5624116833,0,0,0,0,0,0,0,0,0,0,0,0,5624116833,5624.116833
7c82cbcaef88670919ac176404f76173b12d82458cea6d9bee09b33e,addr1q97g9j72a7yxwzge4stkgp8hv9emztvzgkxw5mvmacymx0hhav3l8w6rjtcp6d747qj22pe9tjqd5u0z79ctengw50ysk8djzz,0,0,26000000,757187291,0,0,0,0,0,0,0,0,0,0,757187291,757.187291
7c86d8e660422784146dc394666e50c40541ca4666f770e43787cf4e,addr1q97gdk8xvppz0pq5dhpegenw2rzq2sw2gen0wu8yx7ru7n587trcn8knaahaknlqvgzfwsgggkm0ajr4cjw34pq2673qzhgpqr,0,0,1000000,29122588,0,0,0,0,0,0,0,0,0,0,29122588,29.122588
7c8d55421201b13549e9ca9e3e7707d33a4c761cbbfc6e7529bf9c74,addr1q97g642zzgqmzd2fa89fu0nhqlfn5nrkrjalcmn49xlecazaf3a0yte5wu2draq3526m7hsazhne0mmmj7qrr94fg6msctf2gz,1000000,462890274355,0,0,0,0,0,0,0,0,0,0,0,0,462890274355,462890.274355
7c930d738e2147f45820ed676a38d9ce452e0f65245f68e98e5a2649,addr1q97fxrtn3cs50azcyrkkw63cm88y2ts0v5j9768f3edzvjvjdgylgx73f97xhzlx0jre2lzjd4cv5qu6e0xuqul67vsq63j6vu,0,0,278000000,8096079500,0,0,0,0,0,0,0,0,0,0,8096079500,8096.0795
7ca25238af2a96181735c43bff951ee4dda29200fa6caee261bf5787,addr1q972y53c4u4fvxqhxhzrhlu4rmjdmg5jqraxethzvxl40puu52gdw2jat843mvmsxq8wks7ttr0h96cte0rze4dldlmqqdnnhl,1098958,508696970124,0,0,0,0,0,0,0,0,0,0,0,0,508696970124,508696.970124
